race,sex,ethnicity,loan_type,loan_purpose,loan_amount,income,debt_to_income,applicant_age,tract_minority_pct,tract_income_pct,loan_approved
White,Male,Hispanic or Latino,1,31,55000.0,35.0,45,65-74,50.41,66,1
White,Joint,Not Hispanic or Latino,1,2,75000.0,64.0,20%-<30%,65-74,81.22,93,1
White,Female,Ethnicity Not Available,1,1,125000.0,79.0,20%-<30%,45-54,31.98,147,1
Black or African American,Male,Not Hispanic or Latino,1,4,25000.0,81.0,50%-60%,45-54,21.47,176,0
White,Male,Not Hispanic or Latino,1,31,265000.0,120.0,50%-60%,55-64,11.12,182,0
White,Male,Not Hispanic or Latino,1,4,25000.0,110.0,50%-60%,55-64,12.47,77,0
Asian,Male,Hispanic or Latino,1,2,25000.0,82.0,<20%,55-64,25.39,74,1
White,Female,Not Hispanic or Latino,1,1,205000.0,74.0,20%-<30%,25-34,24.61,76,1
White,Joint,Not Hispanic or Latino,1,2,25000.0,134.0,<20%,35-44,18.9,147,1
White,Joint,Not Hispanic or Latino,1,2,105000.0,432.0,20%-<30%,45-54,24.33,91,1
White,Male,Not Hispanic or Latino,1,2,55000.0,155.0,20%-<30%,25-34,17.01,134,1
White,Female,Not Hispanic or Latino,1,1,205000.0,167.0,<20%,35-44,14.7,131,1
White,Joint,Not Hispanic or Latino,1,4,55000.0,67.0,44,65-74,10.88,189,1
White,Female,Not Hispanic or Latino,1,4,45000.0,49.0,50%-60%,>74,35.14,74,0
Asian,Male,Not Hispanic or Latino,1,2,25000.0,13.0,30%-<36%,65-74,37.1,103,0
White,Female,Not Hispanic or Latino,1,2,105000.0,78.0,40,65-74,27.28,123,1
Black or African American,Male,Not Hispanic or Latino,1,2,145000.0,158.0,30%-<36%,55-64,16.56,130,1
Black or African American,Female,Not Hispanic or Latino,1,1,225000.0,60.0,41,55-64,24.93,86,1
Black or African American,Female,Not Hispanic or Latino,1,4,35000.0,127.0,38,45-54,59.69,118,1
Black or African American,Female,Not Hispanic or Latino,1,1,125000.0,64.0,39,45-54,96.84,72,1
White,Female,Not Hispanic or Latino,1,2,25000.0,25.0,>60%,55-64,9.8,93,0
White,Joint,Not Hispanic or Latino,1,2,805000.0,445.0,20%-<30%,65-74,19.89,133,0
White,Female,Not Hispanic or Latino,1,31,105000.0,122.0,>60%,>74,7.87,97,0
Asian,Male,Not Hispanic or Latino,1,4,155000.0,39.0,50%-60%,35-44,6.91,75,0
White,Female,Not Hispanic or Latino,1,1,165000.0,38.0,38,35-44,5.87,122,1
White,Joint,Not Hispanic or Latino,1,1,275000.0,164.0,30%-<36%,25-34,25.55,159,0
White,Male,Not Hispanic or Latino,1,1,55000.0,44.0,44,65-74,9.3,78,1
White,Joint,Not Hispanic or Latino,1,31,105000.0,54.0,50%-60%,65-74,9.4,120,0
Asian,Joint,Not Hispanic or Latino,1,2,25000.0,111.0,<20%,55-64,22.6,195,0
White,Joint,Not Hispanic or Latino,1,2,205000.0,107.0,50%-60%,35-44,10.24,75,0
White,Joint,Not Hispanic or Latino,1,2,55000.0,227.0,41,45-54,7.8,126,1
White,Joint,Not Hispanic or Latino,1,2,65000.0,105.0,20%-<30%,45-54,16.48,89,0
White,Male,Not Hispanic or Latino,1,2,85000.0,50.0,>60%,65-74,9.14,151,0
White,Joint,Not Hispanic or Latino,1,4,125000.0,166.0,>60%,35-44,12.92,138,0
White,Male,Not Hispanic or Latino,1,1,325000.0,226.0,46,65-74,46.91,158,1
White,Male,Not Hispanic or Latino,1,4,95000.0,210.0,20%-<30%,25-34,20.65,108,0
White,Female,Hispanic or Latino,1,2,65000.0,80.0,>60%,35-44,57.06,130,0
White,Joint,Not Hispanic or Latino,1,2,155000.0,184.0,37,45-54,12.65,132,1
White,Joint,Not Hispanic or Latino,1,4,215000.0,69.0,48,55-64,6.26,106,1
White,Male,Not Hispanic or Latino,1,4,35000.0,97.0,<20%,55-64,14.09,138,1
White,Male,Not Hispanic or Latino,1,4,105000.0,31.0,44,>74,15.7,121,0
White,Female,Not Hispanic or Latino,1,1,315000.0,134.0,30%-<36%,35-44,15.55,132,1
White,Joint,Not Hispanic or Latino,1,2,95000.0,145.0,20%-<30%,45-54,12.04,100,1
White,Joint,Not Hispanic or Latino,1,31,135000.0,145.0,49,45-54,11.42,132,1
White,Male,Not Hispanic or Latino,1,32,115000.0,29.0,44,55-64,7.52,84,0
White,Joint,Not Hispanic or Latino,1,4,255000.0,67.0,44,65-74,11.97,110,0
White,Male,Not Hispanic or Latino,1,2,55000.0,105.0,49,35-44,14.8,85,0
White,Male,Not Hispanic or Latino,1,1,155000.0,40.0,44,45-54,29.49,66,1
White,Joint,Not Hispanic or Latino,1,2,75000.0,40.0,50%-60%,65-74,21.68,98,0
Black or African American,Joint,Ethnicity Not Available,1,2,35000.0,106.0,50%-60%,35-44,47.04,110,0
White,Female,Not Hispanic or Latino,1,2,45000.0,35.0,48,65-74,11.13,150,1
White,Joint,Not Hispanic or Latino,1,1,375000.0,182.0,20%-<30%,25-34,63.9,45,1
White,Male,Not Hispanic or Latino,1,31,105000.0,95.0,20%-<30%,55-64,18.3,118,1
Black or African American,Male,Not Hispanic or Latino,1,2,25000.0,56.0,<20%,45-54,43.25,84,0
White,Joint,Not Hispanic or Latino,1,2,65000.0,54.0,50%-60%,35-44,17.83,92,0
Black or African American,Male,Not Hispanic or Latino,1,4,55000.0,60.0,44,55-64,56.2,110,1
Black or African American,Female,Not Hispanic or Latino,1,2,25000.0,28.0,49,55-64,82.3,71,1
White,Female,Not Hispanic or Latino,1,31,105000.0,57.0,40,>74,22.36,188,1
White,Joint,Not Hispanic or Latino,1,2,75000.0,89.0,37,55-64,37.54,115,0
White,Male,Not Hispanic or Latino,1,1,215000.0,60.0,42,25-34,10.32,88,1
White,Joint,Not Hispanic or Latino,1,1,285000.0,224.0,20%-<30%,65-74,14.53,88,1
Black or African American,Female,Not Hispanic or Latino,1,1,135000.0,56.0,30%-<36%,<25,52.49,58,1
White,Male,Not Hispanic or Latino,1,2,85000.0,74.0,50%-60%,25-34,20.41,149,0
White,Joint,Not Hispanic or Latino,1,4,65000.0,98.0,>60%,65-74,50.19,179,0
White,Joint,Not Hispanic or Latino,1,2,55000.0,37.0,50%-60%,45-54,8.04,100,0
White,Joint,Ethnicity Not Available,1,31,1195000.0,-246.0,<20%,45-54,13.12,241,0
White,Male,Ethnicity Not Available,1,4,55000.0,12.0,>60%,35-44,25.1,66,0
Black or African American,Male,Not Hispanic or Latino,1,1,125000.0,48.0,47,25-34,96.34,66,1
White,Female,Not Hispanic or Latino,1,2,55000.0,45.0,<20%,45-54,16.57,88,0
White,Male,Not Hispanic or Latino,1,1,165000.0,75.0,39,25-34,51.69,60,1
White,Joint,Not Hispanic or Latino,1,2,105000.0,151.0,20%-<30%,55-64,7.93,119,1
White,Male,Not Hispanic or Latino,1,4,35000.0,113.0,40,45-54,14.17,125,1
White,Joint,Not Hispanic or Latino,1,4,45000.0,138.0,46,65-74,6.61,145,1
White,Male,Not Hispanic or Latino,1,2,55000.0,84.0,20%-<30%,55-64,15.67,113,1
White,Female,Not Hispanic or Latino,1,4,25000.0,38.0,>60%,65-74,17.46,93,0
White,Male,Not Hispanic or Latino,1,1,155000.0,450.0,30%-<36%,55-64,21.04,192,1
White,Male,Not Hispanic or Latino,1,31,95000.0,144.0,42,35-44,9.21,107,1
White,Joint,Not Hispanic or Latino,1,2,135000.0,186.0,42,35-44,15.89,188,1
White,Joint,Not Hispanic or Latino,1,4,315000.0,790.0,20%-<30%,35-44,7.78,105,1
White,Male,Not Hispanic or Latino,1,2,35000.0,78.0,50%-60%,55-64,7.84,109,1
American Indian or Alaska Native,Female,Not Hispanic or Latino,1,2,55000.0,70.0,<20%,45-54,15.18,133,0
White,Joint,Not Hispanic or Latino,1,1,305000.0,129.0,30%-<36%,55-64,9.22,179,1
White,Joint,Not Hispanic or Latino,1,2,45000.0,182.0,20%-<30%,45-54,10.2,152,0
White,Female,Hispanic or Latino,1,2,35000.0,48.0,20%-<30%,35-44,6.69,73,0
White,Male,Not Hispanic or Latino,1,4,25000.0,85.0,<20%,<25,28.83,99,0
White,Joint,Not Hispanic or Latino,1,2,25000.0,100.0,20%-<30%,35-44,22.6,195,1
White,Male,Not Hispanic or Latino,1,1,175000.0,104.0,<20%,25-34,23.35,115,0
Black or African American,Female,Not Hispanic or Latino,1,1,205000.0,137.0,20%-<30%,55-64,43.51,136,1
Black or African American,Male,Ethnicity Not Available,1,2,25000.0,8.0,>60%,65-74,88.95,47,0
White,Female,Not Hispanic or Latino,1,2,35000.0,53.0,49,45-54,56.42,50,0
Asian,Male,Not Hispanic or Latino,1,1,295000.0,104.0,30%-<36%,25-34,9.0,42,0
White,Female,Not Hispanic or Latino,1,2,105000.0,84.0,38,45-54,27.68,75,1
White,Male,Not Hispanic or Latino,1,2,165000.0,325.0,20%-<30%,35-44,15.87,129,0
White,Female,Not Hispanic or Latino,1,2,55000.0,60.0,41,>74,47.73,150,0
White,Male,Free Form Text Only,1,2,105000.0,49.0,>60%,35-44,13.84,79,0
White,Joint,Not Hispanic or Latino,1,2,65000.0,159.0,42,35-44,11.3,156,1
Asian,Male,Not Hispanic or Latino,1,2,55000.0,105.0,20%-<30%,35-44,10.05,176,1
White,Female,Not Hispanic or Latino,1,31,115000.0,52.0,37,65-74,32.86,88,1
Black or African American,Female,Ethnicity Not Available,1,1,135000.0,36.0,49,35-44,79.72,77,1
White,Male,Not Hispanic or Latino,1,32,155000.0,131.0,20%-<30%,55-64,17.3,176,1
White,Joint,Not Hispanic or Latino,1,2,105000.0,171.0,20%-<30%,55-64,23.87,73,1
White,Joint,Not Hispanic or Latino,1,2,205000.0,430.0,20%-<30%,35-44,22.36,188,0
White,Female,Not Hispanic or Latino,1,31,75000.0,85.0,50%-60%,65-74,37.62,134,0
White,Male,Not Hispanic or Latino,1,2,55000.0,40.0,50%-60%,45-54,55.47,40,0
Black or African American,Joint,Joint,1,4,35000.0,160.0,50%-60%,25-34,95.18,59,0
Asian,Female,Not Hispanic or Latino,1,31,205000.0,123.0,>60%,45-54,51.5,184,0
White,Joint,Not Hispanic or Latino,1,4,105000.0,118.0,30%-<36%,65-74,12.5,83,0
Black or African American,Female,Not Hispanic or Latino,1,1,135000.0,37.0,30%-<36%,25-34,84.14,69,1
White,Male,Not Hispanic or Latino,1,4,65000.0,92.0,50%-60%,25-34,8.56,100,0
Black or African American,Male,Not Hispanic or Latino,1,4,55000.0,160.0,<20%,45-54,97.9,56,0
White,Female,Not Hispanic or Latino,1,4,55000.0,21.0,>60%,65-74,12.26,142,0
White,Male,Not Hispanic or Latino,1,2,65000.0,98.0,50%-60%,35-44,7.89,120,0
White,Female,Not Hispanic or Latino,1,1,205000.0,69.0,30%-<36%,<25,5.97,65,1
White,Male,Not Hispanic or Latino,1,4,45000.0,28.0,>60%,55-64,23.81,155,0
White,Joint,Not Hispanic or Latino,1,1,275000.0,146.0,39,45-54,16.56,130,1
Black or African American,Male,Not Hispanic or Latino,1,4,245000.0,195.0,37,45-54,44.03,256,0
Black or African American,Male,Not Hispanic or Latino,1,1,145000.0,37.0,46,45-54,97.34,25,0
White,Male,Not Hispanic or Latino,1,1,645000.0,357.0,38,35-44,61.09,90,1
White,Male,Not Hispanic or Latino,1,1,735000.0,695.0,20%-<30%,45-54,7.54,92,1
White,Male,Not Hispanic or Latino,1,1,125000.0,53.0,20%-<30%,25-34,49.65,44,1
White,Male,Not Hispanic or Latino,1,1,215000.0,218.0,42,55-64,10.14,125,1
White,Female,Hispanic or Latino,1,2,25000.0,27.0,30%-<36%,45-54,30.57,91,0
White,Joint,Not Hispanic or Latino,1,1,555000.0,350.0,41,45-54,10.53,266,1
Asian,Male,Not Hispanic or Latino,1,4,65000.0,178.0,41,45-54,49.38,172,0
White,Joint,Not Hispanic or Latino,1,1,205000.0,201.0,30%-<36%,45-54,28.72,63,0
White,Joint,Not Hispanic or Latino,1,2,75000.0,124.0,39,45-54,19.14,142,1
Black or African American,Female,Not Hispanic or Latino,1,2,65000.0,66.0,>60%,>74,31.98,147,0
White,Female,Not Hispanic or Latino,1,31,55000.0,39.0,20%-<30%,65-74,12.62,91,1
White,Male,Not Hispanic or Latino,1,2,65000.0,210.0,20%-<30%,45-54,8.25,130,1
White,Female,Not Hispanic or Latino,1,4,105000.0,74.0,>60%,65-74,11.73,108,0
White,Male,Not Hispanic or Latino,1,4,25000.0,98.0,>60%,45-54,11.88,90,0
White,Female,Not Hispanic or Latino,1,2,25000.0,83.0,37,>74,42.36,75,0
White,Male,Not Hispanic or Latino,1,2,25000.0,61.0,50%-60%,<25,24.57,111,0
White,Male,Not Hispanic or Latino,1,1,125000.0,111.0,<20%,25-34,43.37,83,1
White,Male,Not Hispanic or Latino,1,2,155000.0,33.0,>60%,55-64,10.17,112,0
White,Joint,Ethnicity Not Available,1,4,505000.0,408.0,20%-<30%,65-74,14.79,163,1
Black or African American,Male,Not Hispanic or Latino,1,31,155000.0,203.0,30%-<36%,65-74,20.29,106,1
White,Female,Not Hispanic or Latino,1,2,75000.0,1.0,>60%,35-44,8.12,111,0
White,Joint,Not Hispanic or Latino,1,2,65000.0,121.0,20%-<30%,35-44,12.17,94,0
Black or African American,Female,Not Hispanic or Latino,1,2,35000.0,49.0,30%-<36%,55-64,97.72,50,0
White,Joint,Not Hispanic or Latino,1,1,425000.0,201.0,42,55-64,9.22,179,1
White,Male,Not Hispanic or Latino,1,4,35000.0,5.0,>60%,55-64,12.86,123,0
Asian,Joint,Not Hispanic or Latino,1,1,175000.0,275.0,30%-<36%,45-54,53.08,106,1
White,Male,Not Hispanic or Latino,1,4,85000.0,62.0,49,45-54,47.04,110,1
White,Male,Not Hispanic or Latino,2,1,145000.0,76.0,39,25-34,9.77,109,1
White,Female,Ethnicity Not Available,1,2,25000.0,90.0,39,55-64,10.24,75,0
White,Joint,Not Hispanic or Latino,1,31,205000.0,189.0,45,55-64,12.56,142,1
Black or African American,Male,Not Hispanic or Latino,1,31,155000.0,50.0,>60%,45-54,19.34,140,0
White,Male,Hispanic or Latino,1,1,295000.0,141.0,20%-<30%,35-44,11.12,182,1
White,Joint,Not Hispanic or Latino,1,2,235000.0,812.0,<20%,55-64,26.66,384,1
White,Female,Not Hispanic or Latino,1,1,155000.0,53.0,42,25-34,76.82,41,1
Black or African American,Male,Free Form Text Only,1,2,95000.0,175.0,30%-<36%,65-74,29.95,82,1
White,Female,Not Hispanic or Latino,1,1,325000.0,87.0,46,35-44,43.37,83,1
White,Male,Not Hispanic or Latino,1,4,305000.0,114.0,47,65-74,10.08,106,1
White,Female,Not Hispanic or Latino,1,1,275000.0,-42.0,<20%,35-44,8.24,117,0
White,Joint,Not Hispanic or Latino,1,2,55000.0,57.0,>60%,45-54,31.49,82,0
White,Joint,Not Hispanic or Latino,1,2,75000.0,122.0,37,55-64,11.79,96,1
White,Female,Not Hispanic or Latino,1,31,35000.0,31.0,>60%,25-34,38.16,104,0
American Indian or Alaska Native,Male,Not Hispanic or Latino,1,31,105000.0,61.0,50%-60%,45-54,29.3,54,0
White,Male,Not Hispanic or Latino,1,31,305000.0,113.0,42,55-64,22.05,238,1
White,Female,Ethnicity Not Available,1,2,55000.0,110.0,20%-<30%,65-74,8.05,101,1
Asian,Female,Not Hispanic or Latino,1,2,65000.0,180.0,20%-<30%,25-34,21.75,176,0
White,Male,Not Hispanic or Latino,1,2,55000.0,36.0,20%-<30%,35-44,60.83,50,0
White,Joint,Not Hispanic or Latino,1,31,105000.0,87.0,20%-<30%,55-64,41.52,81,1
White,Male,Not Hispanic or Latino,1,4,105000.0,187.0,30%-<36%,45-54,14.25,130,1
White,Male,Hispanic or Latino,1,2,75000.0,86.0,50%-60%,35-44,10.08,128,0
Black or African American,Female,Hispanic or Latino,1,2,25000.0,93.0,<20%,35-44,32.6,91,0
White,Joint,Not Hispanic or Latino,1,4,155000.0,147.0,36,55-64,11.18,110,1
White,Male,Not Hispanic or Latino,1,1,195000.0,55.0,41,25-34,87.45,45,1
White,Male,Not Hispanic or Latino,1,1,265000.0,88.0,30%-<36%,35-44,38.84,90,1
Asian,Male,Not Hispanic or Latino,1,1,345000.0,106.0,41,25-34,82.02,166,1
White,Male,Not Hispanic or Latino,1,2,55000.0,64.0,<20%,55-64,58.13,56,0
Black or African American,Joint,Not Hispanic or Latino,1,2,55000.0,124.0,50%-60%,35-44,92.02,125,0
White,Joint,Not Hispanic or Latino,1,4,35000.0,181.0,20%-<30%,55-64,24.87,95,0
White,Joint,Not Hispanic or Latino,1,1,155000.0,68.0,20%-<30%,55-64,7.9,105,1
Asian,Male,Not Hispanic or Latino,1,4,35000.0,53.0,>60%,25-34,21.12,73,0
White,Male,Not Hispanic or Latino,1,1,405000.0,215.0,40,>74,8.95,118,1
White,Joint,Not Hispanic or Latino,1,1,505000.0,241.0,30%-<36%,45-54,8.76,136,1
White,Female,Not Hispanic or Latino,1,31,75000.0,39.0,50%-60%,65-74,40.39,56,1
White,Joint,Not Hispanic or Latino,1,1,275000.0,839.0,<20%,55-64,21.12,73,1
White,Joint,Not Hispanic or Latino,1,31,205000.0,333.0,30%-<36%,45-54,25.3,187,1
White,Male,Not Hispanic or Latino,1,2,105000.0,192.0,20%-<30%,65-74,18.66,96,0
White,Joint,Not Hispanic or Latino,1,4,105000.0,49.0,>60%,45-54,20.29,106,0
White,Female,Not Hispanic or Latino,1,1,305000.0,73.0,40,25-34,23.28,101,1
White,Male,Not Hispanic or Latino,1,1,175000.0,71.0,45,25-34,42.42,58,1
Black or African American,Joint,Not Hispanic or Latino,1,1,105000.0,201.0,<20%,35-44,37.5,141,0
White,Female,Not Hispanic or Latino,1,1,195000.0,122.0,49,25-34,17.7,79,1
Asian,Male,Not Hispanic or Latino,1,2,65000.0,72.0,20%-<30%,45-54,27.72,72,0
White,Joint,Not Hispanic or Latino,1,31,25000.0,55.0,20%-<30%,>74,30.57,91,0
White,Joint,Not Hispanic or Latino,1,2,105000.0,161.0,42,45-54,42.29,131,1
White,Joint,Not Hispanic or Latino,1,4,75000.0,136.0,37,55-64,21.63,135,0
White,Female,Not Hispanic or Latino,1,2,25000.0,40.0,43,35-44,16.12,61,0
White,Joint,Not Hispanic or Latino,1,2,35000.0,65.0,20%-<30%,65-74,5.22,104,0
White,Male,Not Hispanic or Latino,1,4,35000.0,48.0,39,25-34,47.18,99,1
White,Joint,Not Hispanic or Latino,1,2,45000.0,163.0,38,25-34,9.22,87,1
White,Female,Not Hispanic or Latino,1,2,35000.0,98.0,>60%,55-64,7.23,135,0
White,Joint,Joint,1,2,185000.0,320.0,<20%,35-44,14.63,113,0
White,Female,Not Hispanic or Latino,1,2,45000.0,51.0,>60%,35-44,6.73,77,0
Black or African American,Joint,Not Hispanic or Latino,1,2,55000.0,107.0,48,55-64,34.11,166,1
White,Female,Not Hispanic or Latino,1,31,55000.0,51.0,<20%,65-74,9.75,111,0
White,Joint,Not Hispanic or Latino,1,2,55000.0,57.0,40,65-74,10.41,91,0
Black or African American,Female,Not Hispanic or Latino,1,2,35000.0,60.0,20%-<30%,35-44,98.82,61,0
Black or African American,Joint,Joint,1,1,235000.0,112.0,20%-<30%,25-34,68.94,68,1
White,Male,Not Hispanic or Latino,1,4,45000.0,67.0,>60%,55-64,25.45,88,0
White,Joint,Not Hispanic or Latino,1,4,55000.0,70.0,>60%,65-74,14.06,106,0
White,Female,Not Hispanic or Latino,1,1,55000.0,21.0,30%-<36%,35-44,10.54,70,0
White,Joint,Not Hispanic or Latino,1,31,155000.0,293.0,<20%,65-74,24.93,86,1
White,Male,Not Hispanic or Latino,1,2,55000.0,80.0,>60%,55-64,8.19,125,0
White,Female,Not Hispanic or Latino,1,31,125000.0,45.0,50%-60%,>74,11.39,238,1
White,Female,Not Hispanic or Latino,1,31,165000.0,75.0,42,65-74,27.92,207,1
White,Female,Not Hispanic or Latino,1,1,205000.0,57.0,46,<25,9.1,114,1
White,Male,Not Hispanic or Latino,1,1,85000.0,90.0,39,45-54,73.33,30,0
White,Male,Not Hispanic or Latino,1,4,125000.0,62.0,>60%,55-64,19.02,110,0
White,Male,Ethnicity Not Available,1,2,155000.0,488.0,<20%,35-44,13.96,103,0
White,Male,Not Hispanic or Latino,1,4,55000.0,96.0,>60%,45-54,27.34,175,0
White,Female,Not Hispanic or Latino,1,2,155000.0,70.0,37,45-54,10.11,166,1
Asian,Joint,Not Hispanic or Latino,1,2,25000.0,81.0,>60%,25-34,14.53,88,0
White,Joint,Ethnicity Not Available,1,2,155000.0,85.0,42,65-74,7.39,99,1
White,Male,Not Hispanic or Latino,1,2,55000.0,158.0,20%-<30%,45-54,33.58,87,1
Black or African American,Joint,Not Hispanic or Latino,1,2,25000.0,140.0,<20%,35-44,33.41,82,0
Black or African American,Male,Not Hispanic or Latino,1,2,55000.0,185.0,50%-60%,35-44,11.3,304,0
Black or African American,Male,Not Hispanic or Latino,1,2,75000.0,42.0,30%-<36%,25-34,91.53,54,0
White,Joint,Not Hispanic or Latino,1,4,95000.0,136.0,30%-<36%,45-54,18.06,112,1
White,Female,Not Hispanic or Latino,1,2,75000.0,54.0,39,35-44,10.65,118,0
White,Male,Not Hispanic or Latino,1,31,105000.0,24.0,>60%,>74,8.89,187,0
White,Female,Not Hispanic or Latino,1,31,25000.0,24.0,50%-60%,>74,7.82,150,1
Black or African American,Female,Not Hispanic or Latino,1,1,105000.0,229.0,37,35-44,46.73,126,0
White,Joint,Not Hispanic or Latino,1,4,105000.0,63.0,20%-<30%,>74,10.02,106,0
White,Female,Not Hispanic or Latino,1,2,105000.0,167.0,20%-<30%,35-44,14.7,131,1
White,Joint,Not Hispanic or Latino,1,1,255000.0,93.0,44,65-74,7.01,126,1
White,Joint,Not Hispanic or Latino,1,4,215000.0,185.0,41,65-74,26.6,153,1
White,Joint,Not Hispanic or Latino,1,2,45000.0,72.0,36,45-54,27.72,72,0
Asian,Female,Not Hispanic or Latino,1,1,335000.0,66.0,49,35-44,22.15,128,1
White,Male,Not Hispanic or Latino,1,1,215000.0,76.0,45,25-34,13.36,92,1
White,Male,Hispanic or Latino,1,1,455000.0,292.0,20%-<30%,55-64,26.66,384,1
White,Joint,Ethnicity Not Available,1,2,45000.0,141.0,30%-<36%,35-44,11.79,96,1
White,Male,Not Hispanic or Latino,1,2,95000.0,20.0,>60%,45-54,13.03,115,0
Black or African American,Female,Not Hispanic or Latino,1,1,155000.0,86.0,30%-<36%,25-34,97.17,63,1
White,Female,Not Hispanic or Latino,1,2,75000.0,163.0,49,55-64,23.54,145,1
White,Joint,Not Hispanic or Latino,1,31,105000.0,44.0,40,>74,8.59,110,1
Black or African American,Female,Not Hispanic or Latino,1,1,325000.0,65.0,50%-60%,45-54,94.09,40,0
White,Female,Not Hispanic or Latino,1,1,135000.0,102.0,36,45-54,9.31,144,1
Black or African American,Female,Not Hispanic or Latino,1,1,85000.0,23.0,50%-60%,25-34,97.03,53,0
Black or African American,Female,Not Hispanic or Latino,1,2,55000.0,36.0,38,65-74,97.73,81,1
White,Female,Hispanic or Latino,1,2,65000.0,107.0,>60%,65-74,43.77,96,0
White,Joint,Not Hispanic or Latino,1,31,205000.0,250.0,20%-<30%,45-54,37.5,141,1
White,Joint,Not Hispanic or Latino,1,1,205000.0,138.0,30%-<36%,65-74,7.52,84,1
Black or African American,Female,Not Hispanic or Latino,1,1,365000.0,90.0,49,25-34,47.04,110,1
White,Female,Not Hispanic or Latino,1,1,245000.0,71.0,40,25-34,10.43,89,1
White,Female,Not Hispanic or Latino,1,4,25000.0,52.0,30%-<36%,45-54,24.61,76,0
Black or African American,Female,Not Hispanic or Latino,1,1,45000.0,21.0,50%-60%,25-34,97.34,28,0
Black or African American,Female,Not Hispanic or Latino,1,2,55000.0,20.0,30%-<36%,35-44,91.85,36,0
White,Male,Hispanic or Latino,1,1,1275000.0,872.0,30%-<36%,35-44,8.75,123,1
White,Male,Not Hispanic or Latino,1,4,505000.0,664.0,40,35-44,15.7,158,0
White,Joint,Not Hispanic or Latino,1,4,25000.0,52.0,30%-<36%,65-74,27.53,80,0
Black or African American,Female,Not Hispanic or Latino,1,31,25000.0,37.0,50%-60%,25-34,68.37,62,0
White,Joint,Not Hispanic or Latino,1,31,155000.0,72.0,39,55-64,30.83,57,1
White,Joint,Not Hispanic or Latino,1,31,105000.0,70.0,30%-<36%,>74,15.48,115,1
White,Male,Not Hispanic or Latino,1,1,135000.0,68.0,30%-<36%,25-34,11.03,77,0
White,Male,Not Hispanic or Latino,1,31,25000.0,50.0,41,65-74,22.91,128,0
White,Male,Not Hispanic or Latino,1,4,415000.0,308.0,20%-<30%,45-54,7.42,128,1
White,Male,Not Hispanic or Latino,1,31,405000.0,153.0,50%-60%,65-74,25.97,182,1
White,Female,Not Hispanic or Latino,1,4,25000.0,41.0,50%-60%,65-74,17.46,93,1
Black or African American,Female,Not Hispanic or Latino,1,1,185000.0,67.0,39,25-34,84.14,69,1
White,Joint,Not Hispanic or Latino,1,1,195000.0,82.0,30%-<36%,>74,7.45,127,0
White,Joint,Not Hispanic or Latino,1,2,55000.0,233.0,<20%,55-64,32.86,88,1
White,Male,Not Hispanic or Latino,1,1,225000.0,82.0,20%-<30%,<25,23.01,70,1
White,Male,Not Hispanic or Latino,1,1,215000.0,67.0,37,45-54,18.3,118,1
White,Male,Not Hispanic or Latino,1,2,25000.0,11.0,44,35-44,96.68,41,0
White,Male,Not Hispanic or Latino,1,2,55000.0,32.0,>60%,55-64,12.07,97,0
Black or African American,Male,Not Hispanic or Latino,2,1,195000.0,57.0,39,45-54,57.27,77,0
White,Joint,Not Hispanic or Latino,1,2,55000.0,99.0,41,55-64,7.82,150,0
Black or African American,Female,Not Hispanic or Latino,1,4,35000.0,79.0,42,45-54,73.07,83,1
Black or African American,Male,Not Hispanic or Latino,1,1,55000.0,40.0,20%-<30%,35-44,98.71,63,0
White,Female,Not Hispanic or Latino,1,2,55000.0,103.0,50%-60%,25-34,11.52,270,0
White,Male,Not Hispanic or Latino,1,1,75000.0,71.0,47,35-44,25.97,182,0
White,Joint,Not Hispanic or Latino,1,1,345000.0,145.0,30%-<36%,25-34,10.69,119,1
Asian,Male,Not Hispanic or Latino,1,31,75000.0,53.0,30%-<36%,55-64,22.91,131,0
Black or African American,Female,Not Hispanic or Latino,1,1,225000.0,67.0,42,25-34,92.43,58,1
White,Male,Not Hispanic or Latino,1,4,125000.0,7.0,>60%,55-64,10.22,114,0
White,Female,Not Hispanic or Latino,1,1,65000.0,21.0,40,35-44,10.54,70,0
White,Female,Hispanic or Latino,1,2,25000.0,52.0,>60%,55-64,59.64,94,0
White,Male,Not Hispanic or Latino,1,2,105000.0,85.0,50%-60%,55-64,10.22,114,0
Asian,Male,Not Hispanic or Latino,1,2,115000.0,107.0,>60%,35-44,26.6,153,0
White,Male,Not Hispanic or Latino,1,1,145000.0,58.0,45,35-44,36.16,89,1
White,Male,Not Hispanic or Latino,1,2,65000.0,104.0,50%-60%,45-54,23.24,137,0
White,Male,Not Hispanic or Latino,1,2,35000.0,71.0,40,35-44,11.99,92,1
Black or African American,Male,Ethnicity Not Available,1,1,95000.0,114.0,30%-<36%,>74,51.69,60,1
White,Joint,Not Hispanic or Latino,1,1,265000.0,513.0,<20%,55-64,4.39,95,1
Asian,Male,Not Hispanic or Latino,1,1,105000.0,29.0,>60%,45-54,21.53,84,0
White,Female,Not Hispanic or Latino,1,1,125000.0,41.0,45,55-64,17.28,89,1
White,Joint,Not Hispanic or Latino,1,2,65000.0,58.0,45,55-64,19.78,109,1
White,Male,Not Hispanic or Latino,1,1,575000.0,524.0,20%-<30%,55-64,12.46,99,1
White,Male,Not Hispanic or Latino,1,4,25000.0,56.0,41,55-64,21.12,73,1
