race,sex,ethnicity,loan_type,loan_purpose,loan_amount,income,debt_to_income,applicant_age,tract_minority_pct,tract_income_pct,loan_approved
Black or African American,Female,Not Hispanic or Latino,1,2,25000.0,43.0,<20%,35-44,97.12,46,0
Black or African American,Female,Ethnicity Not Available,1,1,115000.0,46.0,41,45-54,98.3,51,1
White,Joint,Not Hispanic or Latino,1,4,35000.0,125.0,46,35-44,10.83,119,0
White,Joint,Not Hispanic or Latino,1,2,405000.0,100.0,50%-60%,65-74,9.5,68,0
White,Male,Not Hispanic or Latino,1,1,105000.0,54.0,30%-<36%,35-44,14.47,80,1
Black or African American,Male,Not Hispanic or Latino,1,31,255000.0,116.0,45,45-54,22.11,85,1
White,Joint,Joint,1,2,175000.0,442.0,30%-<36%,45-54,8.66,163,1
Black or African American,Female,Not Hispanic or Latino,1,1,85000.0,53.0,>60%,45-54,67.46,56,0
Black or African American,Female,Not Hispanic or Latino,1,2,705000.0,100.0,>60%,35-44,25.48,208,0
Black or African American,Joint,Not Hispanic or Latino,1,2,55000.0,27.0,>60%,65-74,98.78,59,0
White,Male,Not Hispanic or Latino,1,2,75000.0,182.0,37,35-44,11.12,238,0
White,Joint,Not Hispanic or Latino,1,2,45000.0,165.0,30%-<36%,35-44,8.76,136,0
White,Joint,Hispanic or Latino,1,2,55000.0,168.0,46,25-34,34.76,91,0
Black or African American,Male,Not Hispanic or Latino,1,4,35000.0,93.0,30%-<36%,35-44,82.3,71,0
Black or African American,Female,Not Hispanic or Latino,1,2,205000.0,43.0,>60%,>74,20.88,168,0
Black or African American,Female,Ethnicity Not Available,1,1,65000.0,23.0,41,35-44,96.94,68,1
White,Female,Not Hispanic or Latino,1,1,45000.0,51.0,<20%,35-44,95.27,39,1
White,Male,Ethnicity Not Available,1,2,25000.0,200.0,<20%,<25,18.38,99,0
White,Joint,Not Hispanic or Latino,1,4,105000.0,55.0,20%-<30%,>74,11.49,141,0
White,Female,Not Hispanic or Latino,1,1,175000.0,79.0,20%-<30%,35-44,10.31,75,1
White,Male,Not Hispanic or Latino,1,1,295000.0,86.0,44,<25,17.73,76,1
White,Male,Not Hispanic or Latino,1,1,295000.0,85.0,39,25-34,15.67,113,1
White,Joint,Not Hispanic or Latino,1,2,55000.0,91.0,38,45-54,75.73,80,1
White,Male,Not Hispanic or Latino,1,2,55000.0,99.0,30%-<36%,45-54,22.45,139,1
White,Joint,Not Hispanic or Latino,1,31,205000.0,139.0,50%-60%,45-54,16.1,130,0
White,Male,Not Hispanic or Latino,1,2,45000.0,54.0,41,>74,36.59,67,0
White,Female,Hispanic or Latino,1,4,25000.0,216.0,30%-<36%,35-44,19.14,142,0
White,Joint,Not Hispanic or Latino,1,4,25000.0,160.0,20%-<30%,65-74,39.02,49,0
White,Sex Not Available,Joint,1,4,55000.0,238.0,<20%,45-54,9.85,107,0
White,Male,Not Hispanic or Latino,1,2,55000.0,46.0,>60%,45-54,24.41,38,0
White,Joint,Not Hispanic or Latino,1,1,35000.0,70.0,43,25-34,16.82,84,0
White,Female,Not Hispanic or Latino,1,1,175000.0,50.0,43,25-34,20.5,132,1
Black or African American,Joint,Not Hispanic or Latino,1,2,55000.0,50.0,>60%,35-44,73.07,83,0
Black or African American,Female,Not Hispanic or Latino,1,1,85000.0,64.0,<20%,35-44,86.69,53,0
White,Male,Not Hispanic or Latino,1,4,55000.0,400.0,<20%,35-44,17.06,127,0
White,Joint,Not Hispanic or Latino,1,32,95000.0,70.0,42,55-64,8.23,110,0
White,Male,Not Hispanic or Latino,1,1,255000.0,78.0,30%-<36%,<25,10.41,91,1
White,Male,Not Hispanic or Latino,1,2,55000.0,92.0,48,45-54,37.95,142,1
White,Male,Not Hispanic or Latino,1,2,55000.0,50.0,20%-<30%,35-44,25.23,132,0
White,Male,Not Hispanic or Latino,1,31,105000.0,69.0,50%-60%,45-54,9.3,78,0
White,Joint,Not Hispanic or Latino,1,31,105000.0,93.0,30%-<36%,55-64,20.58,220,0
White,Joint,Not Hispanic or Latino,1,4,205000.0,363.0,30%-<36%,55-64,12.92,138,1
White,Joint,Not Hispanic or Latino,1,4,35000.0,62.0,50%-60%,>74,20.29,106,0
White,Female,Not Hispanic or Latino,2,1,165000.0,47.0,50%-60%,25-34,25.82,58,0
Black or African American,Female,Not Hispanic or Latino,1,4,25000.0,62.0,40,65-74,29.01,148,0
White,Joint,Not Hispanic or Latino,1,2,105000.0,96.0,20%-<30%,65-74,12.87,110,1
Black or African American,Female,Ethnicity Not Available,1,1,55000.0,100.0,50%-60%,35-44,15.43,93,0
White,Joint,Not Hispanic or Latino,1,1,315000.0,418.0,20%-<30%,55-64,14.13,89,1
White,Male,Not Hispanic or Latino,1,4,55000.0,81.0,50%-60%,45-54,22.64,99,1
White,Male,Not Hispanic or Latino,1,4,205000.0,175.0,39,55-64,14.31,115,1
White,Male,Not Hispanic or Latino,1,2,25000.0,100.0,<20%,55-64,82.02,166,0
White,Joint,Not Hispanic or Latino,1,31,125000.0,129.0,<20%,55-64,8.31,61,0
Black or African American,Male,Not Hispanic or Latino,1,2,25000.0,60.0,20%-<30%,35-44,95.7,39,0
White,Male,Not Hispanic or Latino,1,4,25000.0,110.0,45,35-44,5.55,82,0
White,Joint,Not Hispanic or Latino,1,31,85000.0,69.0,30%-<36%,25-34,41.71,102,0
White,Female,Hispanic or Latino,1,31,105000.0,57.0,>60%,55-64,51.69,60,0
White,Joint,Not Hispanic or Latino,1,4,25000.0,102.0,42,55-64,19.3,133,1
White,Joint,Joint,1,4,505000.0,463.0,30%-<36%,45-54,21.04,192,1
White,Joint,Not Hispanic or Latino,1,2,55000.0,200.0,20%-<30%,55-64,47.53,141,1
Black or African American,Male,Not Hispanic or Latino,1,1,155000.0,125.0,42,45-54,89.04,49,0
White,Female,Not Hispanic or Latino,1,4,25000.0,29.0,49,65-74,12.04,100,1
Black or African American,Female,Not Hispanic or Latino,1,31,65000.0,51.0,>60%,65-74,75.73,80,0
White,Joint,Not Hispanic or Latino,1,31,105000.0,76.0,20%-<30%,55-64,31.49,139,1
White,Joint,Not Hispanic or Latino,1,31,155000.0,124.0,40,45-54,12.26,142,1
White,Joint,Not Hispanic or Latino,1,2,25000.0,118.0,30%-<36%,35-44,23.01,70,0
Black or African American,Female,Not Hispanic or Latino,1,2,35000.0,30.0,>60%,35-44,83.31,75,0
White,Female,Not Hispanic or Latino,1,4,55000.0,67.0,42,65-74,25.86,130,1
Black or African American,Male,Not Hispanic or Latino,1,2,205000.0,120.0,>60%,25-34,47.66,80,0
White,Female,Not Hispanic or Latino,1,4,65000.0,67.0,50%-60%,45-54,23.91,99,0
White,Female,Not Hispanic or Latino,1,2,75000.0,14.0,>60%,55-64,9.75,111,0
Black or African American,Male,Not Hispanic or Latino,1,31,55000.0,31.0,37,55-64,51.69,60,0
White,Male,Not Hispanic or Latino,1,2,255000.0,80.0,>60%,>74,5.22,104,0
Black or African American,Male,Not Hispanic or Latino,1,4,75000.0,125.0,>60%,25-34,47.66,80,0
White,Female,Hispanic or Latino,2,32,155000.0,40.0,48,65-74,28.77,78,0
White,Male,Not Hispanic or Latino,1,4,175000.0,107.0,<20%,25-34,20.65,108,0
White,Male,Not Hispanic or Latino,1,2,375000.0,102.0,42,65-74,9.5,68,0
White,Male,Not Hispanic or Latino,1,1,65000.0,90.0,40,65-74,17.3,99,0
White,Male,Not Hispanic or Latino,1,2,155000.0,170.0,45,45-54,92.88,76,1
White,Female,Not Hispanic or Latino,1,4,755000.0,291.0,37,35-44,17.18,220,1
White,Female,Hispanic or Latino,1,31,65000.0,47.0,50%-60%,65-74,28.77,78,0
White,Joint,Not Hispanic or Latino,1,2,105000.0,0.0,>60%,55-64,13.28,148,0
White,Male,Not Hispanic or Latino,1,2,255000.0,220.0,20%-<30%,25-34,24.87,90,0
White,Female,Not Hispanic or Latino,1,2,105000.0,51.0,37,>74,83.09,66,0
White,Female,Not Hispanic or Latino,1,31,105000.0,47.0,50%-60%,45-54,67.93,36,0
Asian,Joint,Not Hispanic or Latino,1,4,55000.0,152.0,>60%,>74,36.86,145,0
Black or African American,Joint,Not Hispanic or Latino,1,1,215000.0,200.0,<20%,25-34,33.57,268,0
White,Female,Ethnicity Not Available,1,4,45000.0,84.0,50%-60%,45-54,50.19,179,0
White,Male,Not Hispanic or Latino,1,2,55000.0,27.0,>60%,45-54,29.7,141,0
Asian,Male,Not Hispanic or Latino,1,2,65000.0,145.0,20%-<30%,35-44,10.88,96,0
Black or African American,Female,Ethnicity Not Available,1,1,165000.0,55.0,48,35-44,98.54,57,1
Black or African American,Joint,Not Hispanic or Latino,1,2,55000.0,201.0,30%-<36%,35-44,40.44,152,0
Black or African American,Female,Not Hispanic or Latino,1,2,25000.0,105.0,<20%,35-44,11.18,111,0
White,Joint,Not Hispanic or Latino,1,2,55000.0,95.0,36,>74,22.11,108,0
White,Male,Not Hispanic or Latino,1,1,105000.0,61.0,38,>74,6.88,112,0
White,Female,Not Hispanic or Latino,1,1,225000.0,56.0,44,<25,12.22,132,1
White,Female,Not Hispanic or Latino,1,1,225000.0,55.0,49,25-34,19.86,99,1
White,Male,Hispanic or Latino,1,1,315000.0,92.0,44,35-44,56.41,71,1
White,Female,Not Hispanic or Latino,1,2,105000.0,79.0,>60%,45-54,23.28,101,0
White,Joint,Not Hispanic or Latino,1,31,55000.0,52.0,>60%,65-74,38.4,212,0
White,Male,Not Hispanic or Latino,1,2,255000.0,77.0,50%-60%,25-34,8.8,129,0
White,Male,Not Hispanic or Latino,1,1,75000.0,33.0,20%-<30%,65-74,24.96,55,1
Black or African American,Male,Not Hispanic or Latino,1,1,155000.0,713.0,<20%,65-74,63.22,152,0
White,Female,Not Hispanic or Latino,1,4,35000.0,189.0,20%-<30%,35-44,19.83,176,0
White,Male,Not Hispanic or Latino,1,1,45000.0,59.0,20%-<30%,65-74,23.51,146,1
White,Male,Not Hispanic or Latino,1,1,205000.0,32.0,>60%,65-74,17.26,140,0
White,Male,Not Hispanic or Latino,1,31,155000.0,54.0,50%-60%,55-64,12.65,132,0
White,Joint,Joint,1,4,55000.0,70.0,42,25-34,12.18,154,1
White,Male,Not Hispanic or Latino,1,4,65000.0,161.0,30%-<36%,55-64,10.93,306,1
Black or African American,Male,Not Hispanic or Latino,1,31,65000.0,133.0,44,45-54,19.46,72,0
White,Male,Not Hispanic or Latino,1,4,155000.0,312.0,30%-<36%,35-44,32.42,211,1
White,Female,Not Hispanic or Latino,1,4,155000.0,120.0,50%-60%,55-64,14.0,146,1
White,Male,Not Hispanic or Latino,1,2,55000.0,104.0,49,45-54,18.27,200,1
White,Joint,Not Hispanic or Latino,1,1,105000.0,103.0,39,25-34,10.05,176,1
Asian,Male,Ethnicity Not Available,1,4,55000.0,21.0,>60%,45-54,22.11,85,0
Black or African American,Male,Not Hispanic or Latino,1,2,55000.0,42.0,49,65-74,92.08,75,0
White,Joint,Not Hispanic or Latino,1,31,305000.0,184.0,36,55-64,10.22,205,1
Asian,Joint,Not Hispanic or Latino,1,31,155000.0,63.0,40,65-74,19.46,72,1
White,Female,Ethnicity Not Available,1,4,65000.0,21.0,47,45-54,10.78,132,0
White,Female,Not Hispanic or Latino,1,31,65000.0,140.0,46,35-44,24.87,95,0
White,Male,Not Hispanic or Latino,2,1,195000.0,55.0,50%-60%,25-34,18.92,91,1
White,Joint,Not Hispanic or Latino,1,31,105000.0,83.0,30%-<36%,65-74,5.85,115,1
Black or African American,Joint,Not Hispanic or Latino,1,2,55000.0,92.0,37,45-54,65.35,0,1
White,Joint,Not Hispanic or Latino,1,2,195000.0,235.0,30%-<36%,45-54,11.12,238,1
Asian,Female,Not Hispanic or Latino,1,1,45000.0,36.0,50%-60%,35-44,19.15,115,0
White,Female,Not Hispanic or Latino,1,2,55000.0,37.0,>60%,65-74,31.98,147,0
Black or African American,Joint,Not Hispanic or Latino,1,2,125000.0,42.0,39,65-74,36.9,54,0
White,Joint,Not Hispanic or Latino,1,1,225000.0,132.0,46,35-44,6.26,106,1
Black or African American,Male,Not Hispanic or Latino,1,2,25000.0,75.0,20%-<30%,25-34,98.21,65,0
Asian,Male,Not Hispanic or Latino,1,2,255000.0,120.0,30%-<36%,65-74,30.7,141,1
Black or African American,Female,Not Hispanic or Latino,1,4,35000.0,39.0,>60%,65-74,97.73,81,0
Black or African American,Female,Not Hispanic or Latino,1,1,65000.0,24.0,49,65-74,99.34,43,1
White,Male,Not Hispanic or Latino,1,2,155000.0,51.0,50%-60%,>74,22.6,195,1
Asian,Male,Not Hispanic or Latino,1,1,285000.0,0.0,>60%,45-54,10.81,121,0
White,Joint,Not Hispanic or Latino,1,2,65000.0,144.0,49,55-64,10.39,84,1
Black or African American,Joint,Not Hispanic or Latino,1,2,25000.0,44.0,42,45-54,92.02,125,0
White,Male,Not Hispanic or Latino,1,1,325000.0,80.0,43,25-34,31.2,114,1
White,Male,Not Hispanic or Latino,1,2,55000.0,120.0,20%-<30%,55-64,7.36,89,0
White,Female,Not Hispanic or Latino,1,2,25000.0,97.0,30%-<36%,65-74,11.52,92,0
White,Male,Not Hispanic or Latino,1,2,165000.0,238.0,40,35-44,28.99,139,1
White,Female,Not Hispanic or Latino,1,31,85000.0,162.0,45,45-54,14.61,110,1
White,Male,Not Hispanic or Latino,1,1,165000.0,57.0,47,45-54,45.32,66,1
Asian,Male,Not Hispanic or Latino,1,31,315000.0,175.0,30%-<36%,55-64,14.97,91,1
White,Male,Not Hispanic or Latino,1,2,55000.0,120.0,42,45-54,7.54,92,1
White,Joint,Not Hispanic or Latino,1,1,475000.0,200.0,30%-<36%,35-44,8.37,113,1
Black or African American,Male,Not Hispanic or Latino,1,2,45000.0,45.0,<20%,45-54,98.78,79,0
White,Joint,Not Hispanic or Latino,1,4,45000.0,168.0,20%-<30%,35-44,36.59,118,0
White,Female,Not Hispanic or Latino,1,1,385000.0,167.0,30%-<36%,35-44,21.74,96,1
White,Joint,Not Hispanic or Latino,1,2,35000.0,123.0,20%-<30%,35-44,7.0,92,0
Black or African American,Female,Not Hispanic or Latino,1,4,55000.0,40.0,>60%,>74,92.02,125,0
American Indian or Alaska Native,Male,Not Hispanic or Latino,1,4,35000.0,100.0,30%-<36%,35-44,9.02,111,0
Black or African American,Female,Not Hispanic or Latino,1,2,105000.0,39.0,49,55-64,47.07,112,0
White,Male,Not Hispanic or Latino,1,4,35000.0,53.0,50%-60%,55-64,17.46,93,1
Asian,Male,Not Hispanic or Latino,1,2,45000.0,180.0,30%-<36%,45-54,22.45,139,0
White,Male,Not Hispanic or Latino,1,31,205000.0,154.0,40,45-54,17.12,234,1
Black or African American,Female,Not Hispanic or Latino,1,2,35000.0,47.0,46,35-44,51.03,37,0
White,Male,Not Hispanic or Latino,1,2,25000.0,83.0,20%-<30%,45-54,15.7,121,0
Asian,Joint,Not Hispanic or Latino,1,31,105000.0,57.0,41,>74,18.38,99,0
Black or African American,Joint,Not Hispanic or Latino,1,1,185000.0,104.0,20%-<30%,25-34,97.39,88,1
White,Male,Not Hispanic or Latino,1,31,105000.0,44.0,>60%,65-74,8.34,112,0
White,Female,Not Hispanic or Latino,1,2,65000.0,88.0,30%-<36%,35-44,19.3,133,1
White,Female,Ethnicity Not Available,1,4,35000.0,34.0,50%-60%,65-74,31.98,147,0
White,Male,Not Hispanic or Latino,1,1,875000.0,321.0,30%-<36%,25-34,7.12,82,1
White,Male,Not Hispanic or Latino,1,2,105000.0,105.0,50%-60%,55-64,11.1,123,0
White,Joint,Not Hispanic or Latino,1,2,45000.0,263.0,20%-<30%,25-34,9.63,110,0
White,Male,Not Hispanic or Latino,1,4,155000.0,71.0,>60%,65-74,14.93,139,0
Asian,Female,Not Hispanic or Latino,1,1,155000.0,94.0,30%-<36%,45-54,56.16,112,1
White,Joint,Not Hispanic or Latino,1,2,155000.0,72.0,>60%,65-74,31.98,147,0
White,Male,Not Hispanic or Latino,1,2,45000.0,66.0,49,35-44,12.31,102,0
White,Joint,Not Hispanic or Latino,1,4,295000.0,78.0,36,25-34,8.77,117,1
White,Joint,Not Hispanic or Latino,1,2,245000.0,237.0,39,45-54,9.61,219,1
Black or African American,Joint,Not Hispanic or Latino,1,2,155000.0,162.0,36,35-44,17.2,173,1
White,Female,Hispanic or Latino,1,31,45000.0,38.0,44,55-64,90.55,31,1
White,Male,Not Hispanic or Latino,1,2,35000.0,85.0,20%-<30%,35-44,12.6,110,0
